r,DD,GAFF,GAFF2
10.2125,0.811003,0.762911,0.730344
10.2375,0.815923,0.742789,0.822062
10.2625,0.808555,0.779975,0.750928
10.2875,0.793136,0.798521,0.774144
10.3125,0.767089,0.786573,0.814261
10.3375,0.783473,0.726477,0.759852
10.3625,0.803021,0.725644,0.79081
10.3875,0.797834,0.834328,0.812678
10.4125,0.803908,0.784088,0.800041
10.4375,0.84867,0.78954,0.793536
10.4625,0.780553,0.785117,0.765776
10.4875,0.828886,0.800912,0.79129
10.5125,0.80876,0.78285,0.780935
10.5375,0.813305,0.759146,0.850756
10.5625,0.817156,0.759408,0.776172
10.5875,0.748825,0.791605,0.797221
10.6125,0.833619,0.768167,0.821946
10.6375,0.790497,0.808864,0.77364
10.6625,0.803789,0.790587,0.805921
10.6875,0.800659,0.82514,0.761313
10.7125,0.808774,0.821293,0.771738
10.7375,0.819909,0.77896,0.79723
10.7625,0.842051,0.792039,0.788497
10.7875,0.855986,0.823452,0.852495
10.8125,0.852032,0.781055,0.804913
10.8375,0.852371,0.806725,0.808651
10.8625,0.811457,0.827901,0.817906
10.8875,0.819809,0.80477,0.792017
10.9125,0.803437,0.80229,0.837361
10.9375,0.833865,0.798028,0.772606
10.9625,0.821134,0.83134,0.805479
10.9875,0.816216,0.791968,0.800006
11.0125,0.806614,0.810226,0.820419
11.0375,0.833509,0.794214,0.813117
11.0625,0.85372,0.770146,0.785621
11.0875,0.826008,0.823188,0.834261
11.1125,0.810126,0.806729,0.857074
11.1375,0.854952,0.817545,0.795643
11.1625,0.82758,0.798943,0.811388
11.1875,0.822742,0.795948,0.831644
11.2125,0.820216,0.812911,0.831418
11.2375,0.827337,0.814969,0.808097
11.2625,0.848491,0.81926,0.833821
11.2875,0.802612,0.799333,0.836425
11.3125,0.839889,0.845052,0.870325
11.3375,0.821158,0.8235,0.762149
11.3625,0.840273,0.82099,0.816951
11.3875,0.82831,0.811314,0.794818
11.4125,0.846113,0.825359,0.858497
11.4375,0.836948,0.82504,0.810172
11.4625,0.838203,0.78765,0.792218
11.4875,0.82534,0.847723,0.857819
11.5125,0.832557,0.810002,0.844748
11.5375,0.845081,0.808648,0.810974
11.5625,0.843571,0.85926,0.829279
11.5875,0.864451,0.823553,0.86642
11.6125,0.862856,0.841255,0.840532
11.6375,0.859153,0.837116,0.794405
11.6625,0.860208,0.821946,0.786716
11.6875,0.860723,0.853038,0.862863
11.7125,0.849228,0.819642,0.83421
11.7375,0.860158,0.817714,0.8423
11.7625,0.880815,0.813206,0.819231
11.7875,0.829185,0.840172,0.817858
11.8125,0.851321,0.836619,0.852534
11.8375,0.87786,0.837689,0.845816
