r,DD,GAFF,GAFF2
7.8125,0.708151,0.667661,0.646089
7.8375,0.675681,0.643588,0.678759
7.8625,0.689912,0.676574,0.63436
7.8875,0.649888,0.538754,0.685413
7.9125,0.685793,0.63602,0.688074
7.9375,0.712146,0.683173,0.693002
7.9625,0.656891,0.640483,0.649568
7.9875,0.678582,0.657809,0.629513
8.0125,0.688845,0.667097,0.709609
8.0375,0.729982,0.659627,0.714228
8.0625,0.685832,0.667662,0.634676
8.0875,0.666281,0.679965,0.695394
8.1125,0.728508,0.684487,0.677824
8.1375,0.711071,0.686777,0.675867
8.1625,0.71961,0.660003,0.70893
8.1875,0.735505,0.708328,0.731792
8.2125,0.741644,0.687032,0.729504
8.2375,0.768786,0.709255,0.667077
8.2625,0.716972,0.646222,0.616067
8.2875,0.710569,0.682996,0.613417
8.3125,0.700088,0.674748,0.705729
8.3375,0.692807,0.688222,0.707794
8.3625,0.754161,0.646221,0.729627
8.3875,0.768999,0.686149,0.716995
8.4125,0.767469,0.75494,0.674631
8.4375,0.688544,0.726329,0.666543
8.4625,0.723453,0.758046,0.723681
8.4875,0.734098,0.748616,0.669844
8.5125,0.739668,0.690855,0.697098
8.5375,0.73436,0.713344,0.701022
8.5625,0.788641,0.694532,0.672079
8.5875,0.757856,0.679811,0.70079
8.6125,0.759251,0.708698,0.721294
8.6375,0.704026,0.712281,0.713217
8.6625,0.721902,0.755897,0.698421
8.6875,0.713013,0.710749,0.716621
8.7125,0.688187,0.757624,0.690428
8.7375,0.789236,0.70639,0.704623
8.7625,0.740935,0.698634,0.772758
8.7875,0.754332,0.716923,0.724002
8.8125,0.720572,0.693495,0.697374
8.8375,0.753151,0.708834,0.761564
8.8625,0.787173,0.726724,0.748921
8.8875,0.827143,0.735335,0.702264
8.9125,0.764852,0.75015,0.724942
8.9375,0.799997,0.675129,0.718154
8.9625,0.758124,0.741803,0.726857
8.9875,0.790235,0.742115,0.693943
9.0125,0.707447,0.714197,0.685611
9.0375,0.730699,0.73568,0.713951
9.0625,0.780694,0.742091,0.73043
9.0875,0.736545,0.745819,0.749366
9.1125,0.730785,0.75122,0.720681
9.1375,0.749076,0.72567,0.756901
9.1625,0.727946,0.736218,0.77101
9.1875,0.768073,0.702521,0.724506
9.2125,0.774028,0.783099,0.736898
9.2375,0.783262,0.709205,0.736332
9.2625,0.76486,0.737103,0.782489
9.2875,0.763237,0.724007,0.754621
9.3125,0.779773,0.697001,0.780833
9.3375,0.764934,0.721202,0.740709
9.3625,0.76167,0.726343,0.757547
9.3875,0.79822,0.749298,0.749382
9.4125,0.764908,0.708946,0.761862
9.4375,0.783357,0.750225,0.759467
9.4625,0.789613,0.744666,0.731851
9.4875,0.783867,0.740747,0.748244
9.5125,0.7584,0.720238,0.745928
9.5375,0.774096,0.770792,0.750837
9.5625,0.787271,0.763635,0.740539
9.5875,0.769157,0.756541,0.762057
9.6125,0.758966,0.765787,0.716289
9.6375,0.752722,0.696278,0.725134
9.6625,0.790988,0.717994,0.754958
9.6875,0.745735,0.755502,0.763493
9.7125,0.793485,0.729601,0.758795
9.7375,0.784888,0.729636,0.727998
9.7625,0.833432,0.783014,0.723509
9.7875,0.770913,0.749114,0.760146
9.8125,0.754355,0.765385,0.757035
9.8375,0.782321,0.743739,0.721558
9.8625,0.80411,0.775315,0.753874
9.8875,0.814688,0.737701,0.727699
9.9125,0.779996,0.747833,0.769285
9.9375,0.792742,0.767282,0.740324
9.9625,0.757045,0.791578,0.753504
9.9875,0.792716,0.768235,0.754121
10.0125,0.808036,0.740114,0.771446
10.0375,0.793362,0.732878,0.787865
10.0625,0.798612,0.790069,0.773877
10.0875,0.783407,0.753783,0.772195
10.1125,0.813826,0.762666,0.774796
10.1375,0.807032,0.767272,0.773107
10.1625,0.831475,0.777371,0.782718
10.1875,0.793614,0.818414,0.821021
10.2125,0.816492,0.747117,0.781363
10.2375,0.829579,0.80429,0.774769
10.2625,0.813311,0.769095,0.777228
10.2875,0.766089,0.781603,0.729376
10.3125,0.805444,0.735391,0.74435
10.3375,0.822312,0.739881,0.773494
10.3625,0.782363,0.82502,0.81321
10.3875,0.823699,0.773264,0.778226
10.4125,0.767607,0.76361,0.754996
10.4375,0.815169,0.838187,0.770787
10.4625,0.767479,0.76418,0.821711
10.4875,0.775535,0.752076,0.788639
10.5125,0.797752,0.789331,0.789509
10.5375,0.79526,0.750761,0.817277
10.5625,0.809459,0.778666,0.765065
10.5875,0.826069,0.787771,0.779664
10.6125,0.796767,0.829849,0.81418
10.6375,0.79935,0.781649,0.747874
10.6625,0.834631,0.798776,0.785404
10.6875,0.815069,0.759304,0.772162
10.7125,0.811269,0.842512,0.818741
10.7375,0.796323,0.844805,0.768148
10.7625,0.779037,0.779673,0.818702
10.7875,0.833234,0.783449,0.76856
10.8125,0.858153,0.801884,0.824865
10.8375,0.814596,0.784773,0.76645
10.8625,0.819341,0.808479,0.80864
10.8875,0.789021,0.805978,0.778489
10.9125,0.859323,0.778834,0.811652
10.9375,0.840445,0.781265,0.82257
10.9625,0.811607,0.826573,0.79638
10.9875,0.810289,0.800273,0.777062
11.0125,0.827856,0.807864,0.823425
11.0375,0.829984,0.813614,0.780808
11.0625,0.837932,0.805259,0.824337
11.0875,0.820769,0.790563,0.80165
11.1125,0.82809,0.827027,0.818706
11.1375,0.864759,0.805998,0.790942
11.1625,0.837344,0.790321,0.793253
11.1875,0.814738,0.814831,0.794953
11.2125,0.800294,0.827153,0.812285
11.2375,0.832437,0.816671,0.808675
11.2625,0.862031,0.840151,0.801641
11.2875,0.788009,0.824629,0.791228
11.3125,0.820318,0.835539,0.794
11.3375,0.790538,0.84523,0.795039
11.3625,0.841382,0.8515,0.863246
11.3875,0.810651,0.82236,0.802125
11.4125,0.828531,0.836907,0.797496
11.4375,0.842418,0.839822,0.863106
11.4625,0.843104,0.837798,0.834381
11.4875,0.811783,0.877572,0.805344
11.5125,0.853074,0.804058,0.870596
11.5375,0.837555,0.833397,0.843829
11.5625,0.804497,0.82069,0.865809
11.5875,0.82448,0.840088,0.858277
11.6125,0.837915,0.806734,0.810262
11.6375,0.839602,0.833414,0.83208
11.6625,0.805492,0.867756,0.816727
11.6875,0.82248,0.826298,0.829245
11.7125,0.827841,0.841047,0.842181
11.7375,0.86743,0.854623,0.822724
11.7625,0.873574,0.822006,0.82608
11.7875,0.850301,0.841718,0.84199
11.8125,0.830808,0.828407,0.831116
11.8375,0.853858,0.827467,0.816685
11.8625,0.841109,0.84943,0.817391
11.8875,0.867958,0.882351,0.842326
11.9125,0.852217,0.813043,0.863963
11.9375,0.812998,0.843314,0.831193
11.9625,0.805602,0.857309,0.825175
11.9875,0.830631,0.809879,0.837462
12.0125,0.880735,0.847705,0.838021
12.0375,0.843005,0.856544,0.823477
12.0625,0.849842,0.831833,0.880182
12.0875,0.857105,0.850943,0.82915
12.1125,0.878446,0.848411,0.86349
12.1375,0.835972,0.874574,0.864884
12.1625,0.827701,0.848712,0.833738
12.1875,0.85466,0.821125,0.83621
12.2125,0.849725,0.872028,0.843542
12.2375,0.862026,0.87086,0.867843
12.2625,0.858039,0.864455,0.823589
12.2875,0.837488,0.875172,0.855967
12.3125,0.872798,0.834772,0.846243
12.3375,0.873025,0.910909,0.822705
12.3625,0.8503,0.855213,0.827012
12.3875,0.871588,0.878834,0.865478
12.4125,0.908489,0.839505,0.81232
12.4375,0.872458,0.884746,0.84911
12.4625,0.870344,0.851227,0.868703
12.4875,0.884759,0.83634,0.847465
12.5125,0.852432,0.863192,0.84641
12.5375,0.9023,0.862032,0.83701
12.5625,0.853822,0.859058,0.872479
12.5875,0.873919,0.860169,0.836354
12.6125,0.866409,0.807238,0.891235
12.6375,0.87329,0.828263,0.866262
12.6625,0.888144,0.86743,0.881938
12.6875,0.846861,0.877807,0.87756
12.7125,0.855046,0.882778,0.877269
12.7375,0.901974,0.873136,0.87293
12.7625,0.884385,0.817395,0.872646
12.7875,0.886182,0.879898,0.874587
12.8125,0.846546,0.846365,0.876505
12.8375,0.882332,0.864801,0.871768
12.8625,0.872417,0.84153,0.862655
12.8875,0.832844,0.850773,0.868528
12.9125,0.884988,0.894302,0.867354
12.9375,0.867035,0.877156,0.872714
12.9625,0.894357,0.892531,0.878028
12.9875,0.867584,0.879757,0.867304
13.0125,0.88792,0.881878,0.870862
13.0375,0.89378,0.864595,0.891112
13.0625,0.903363,0.849536,0.875742
13.0875,0.874848,0.855911,0.859633
13.1125,0.865272,0.87431,0.901296
13.1375,0.876079,0.861027,0.879709
13.1625,0.89795,0.881322,0.844816
13.1875,0.895371,0.856569,0.865506
13.2125,0.862472,0.86851,0.853466
13.2375,0.894746,0.877494,0.904321
13.2625,0.921888,0.855459,0.896771
13.2875,0.906669,0.846158,0.889684
13.3125,0.895595,0.873696,0.873184
13.3375,0.900688,0.886125,0.891631
13.3625,0.886901,0.904472,0.88095
13.3875,0.882394,0.856342,0.871562
13.4125,0.888654,0.865494,0.847652
13.4375,0.891295,0.862673,0.857418
13.4625,0.927867,0.860262,0.87877
13.4875,0.901614,0.906682,0.881526
13.5125,0.895538,0.866852,0.894634
13.5375,0.918005,0.892962,0.853548
13.5625,0.900229,0.877214,0.922922
13.5875,0.873663,0.874765,0.876889
13.6125,0.919502,0.901315,0.873671
13.6375,0.902282,0.874139,0.888499
13.6625,0.89745,0.887824,0.890718
13.6875,0.949177,0.873116,0.87774
13.7125,0.865038,0.895835,0.864464
13.7375,0.922942,0.861079,0.884495
13.7625,0.93546,0.890094,0.901681
13.7875,0.901202,0.929065,0.871956
13.8125,0.914071,0.897551,0.899749
13.8375,0.909277,0.86177,0.909825
13.8625,0.884774,0.916057,0.909201
13.8875,0.911275,0.882312,0.887412
