r,DD,GAFF,GAFF2
12.0625,0.946213,0.847561,0.875373
12.0875,0.953967,0.872036,0.84336
12.1125,0.957568,0.898494,0.839568
12.1375,0.979892,0.85146,0.869595
12.1625,0.973065,0.853552,0.878489
12.1875,0.97838,0.870772,0.878613
12.2125,0.955231,0.848117,0.842565
12.2375,0.935338,0.872872,0.860982
12.2625,0.969819,0.864735,0.874643
12.2875,0.975639,0.854527,0.877499
12.3125,0.952235,0.855908,0.875156
12.3375,0.964115,0.869341,0.889784
12.3625,0.962933,0.852905,0.845167
12.3875,0.955748,0.842283,0.867895
12.4125,0.953995,0.856482,0.872182
12.4375,0.982619,0.904409,0.872851
12.4625,0.955549,0.880083,0.880631
12.4875,0.97004,0.859185,0.885091
12.5125,0.939101,0.858102,0.893924
12.5375,0.962026,0.852345,0.896228
12.5625,0.953822,0.854777,0.895585
12.5875,0.946549,0.853414,0.890868
12.6125,0.950908,0.874288,0.892266
12.6375,0.953494,0.903331,0.869111
12.6625,0.981908,0.847632,0.877471
12.6875,0.954864,0.891089,0.874589
12.7125,0.942562,0.867409,0.878854
12.7375,0.966972,0.865706,0.900127
12.7625,0.954704,0.849064,0.898302
12.7875,0.933791,0.885071,0.867165
12.8125,0.988513,0.86903,0.901414
12.8375,0.946935,0.859238,0.883081
12.8625,0.943814,0.870893,0.872129
12.8875,0.957073,0.872772,0.884569
12.9125,0.957239,0.863335,0.899671
12.9375,0.984364,0.857258,0.896473
12.9625,0.962204,0.84548,0.891647
12.9875,0.950584,0.88144,0.896689
13.0125,0.959176,0.875072,0.867928
13.0375,0.957669,0.905227,0.887926
13.0625,0.934301,0.889652,0.904794
13.0875,0.969997,0.891083,0.888691
13.1125,1.00461,0.890092,0.892544
13.1375,0.961026,0.893095,0.888082
13.1625,0.953657,0.908528,0.871142
13.1875,0.968055,0.893202,0.894879
13.2125,1.01242,0.90719,0.892552
13.2375,0.963647,0.861305,0.888921
13.2625,0.983586,0.905324,0.872993
13.2875,0.969975,0.877207,0.900782
13.3125,0.976471,0.892835,0.922373
13.3375,0.975922,0.877097,0.907516
13.3625,0.988009,0.881535,0.915999
13.3875,0.999743,0.866201,0.910781
13.4125,0.954284,0.884167,0.883301
13.4375,0.93492,0.906571,0.918312
13.4625,0.976181,0.9027,0.880313
13.4875,0.964463,0.89658,0.892257
13.5125,0.970484,0.927728,0.914206
13.5375,0.961373,0.889718,0.92014
13.5625,0.964343,0.900924,0.90848
13.5875,0.971277,0.911295,0.890658
13.6125,0.971689,0.895805,0.912267
13.6375,0.951537,0.913022,0.928259
13.6625,0.970266,0.909929,0.896959
13.6875,0.977789,0.895821,0.879414
13.7125,0.98182,0.884986,0.886017
13.7375,0.954331,0.900994,0.89623
13.7625,0.957919,0.904999,0.897114
13.7875,0.970926,0.890606,0.904534
13.8125,0.994937,0.914107,0.908994
13.8375,0.985812,0.890898,0.913417
13.8625,0.98226,0.927841,0.889255
13.8875,0.967979,0.921169,0.926451
13.9125,0.940706,0.869691,0.91598
13.9375,0.960098,0.936088,0.929783
13.9625,0.963988,0.928498,0.928821
13.9875,0.967372,0.934573,0.908775
14.0125,0.98574,0.910422,0.911874
